Designator,Helper,Footprint,Mid X,Mid Y,Rotation,Layer
C1001,1u,CAP_0402,-24.7500,28.9200,90.0,bottom
C1002,100n,CAP_0402,-23.7500,28.9200,90.0,bottom
C1003,1u,CAP_0402,25.0000,24.4200,270.0,bottom
C1004,100n,CAP_0402,24.0200,24.4200,270.0,bottom
J1001,Conn_01x04,J_BATTERY_CONN,-26.6700,41.6700,180.0,bottom
J1002,Conn_01x04,J_BATTERY_CONN,26.6700,41.6700,180.0,bottom
J1007,Conn_01x04,J_BATTERY_CONN,-26.6700,11.6700,0.0,bottom
J1008,Conn_01x04,J_BATTERY_CONN,26.6700,11.6700,0.0,bottom
Q1001,2N7002,SOT-23,-7.5500,40.5000,90.0,bottom
R1001,10k,RES_0402,-10.5000,41.5000,0.0,bottom
R1002,47R,RES_0402,-23.7500,30.9200,270.0,bottom
R1003,47R,RES_0402,24.0000,22.4200,90.0,bottom
R1004,10k,RES_0402,-10.0000,14.0000,90.0,bottom
R1005,10k,RES_0402,-8.5000,14.0000,90.0,bottom
R1006,10k,RES_0402,-7.0000,14.0000,90.0,bottom
R1007,10k,RES_0402,8.5000,14.0000,90.0,bottom
R1008,10k,RES_0402,7.0000,14.0000,90.0,bottom
R1009,10k,RES_0402,10.0000,14.0000,90.0,bottom
SW1001,CPG135001D02,KEY-TH_CPG135001D0X,59.9950,40.0050,0.0,bottom
SW1002,CPG135001D02,KEY-TH_CPG135001D0X,86.6650,40.0050,0.0,bottom
SW1003,CPG135001D02,KEY-TH_CPG135001D0X,113.3350,40.0050,0.0,bottom
SW1004,CPG135001D02,KEY-TH_CPG135001D0X,140.0050,40.0050,0.0,bottom
SW1005,CPG135001D02,KEY-TH_CPG135001D0X,59.9950,13.3350,0.0,bottom
SW1006,CPG135001D02,KEY-TH_CPG135001D0X,86.6650,13.3350,0.0,bottom
SW1007,CPG135001D02,KEY-TH_CPG135001D0X,113.3350,13.3350,0.0,bottom
SW1008,CPG135001D02,KEY-TH_CPG135001D0X,140.0050,13.3350,0.0,bottom
